sentence,label
The Rock is destined to be the 21st Century 's new `` Conan '' and tha,t
The gorgeously elaborate continuation of `` The ,l
"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- bu",t
You 'd think by now America would have had enoug,h
Yet the act is still charmi,n
Whether or not you 're e,n
Just the labour involved in creating the layered richness of the imagery in this ch,i
Part of the charm of Satin Rouge is that it ,a
a s,c
`` ,e
"Good fun , good action , good acting , good dial",o
You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and s,t
Dramas like, 
"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise re",s
"Still , this flick is fun , and host t",o
Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific, 
You walk out of The Good Girl with mixed emotions -- disapprov,a
Post 9\/11 the philosophical message of `` Personal ,f
Absorbing character stud,y
"If you love reading and\/or poetry , then by al",l
You 'll pr,o
`` F,r
near, 
"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heide",g
The Sundance ,f
` Tadpole ' was ,o
The a,c
They are what makes it worth the trip to ,t
"-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the arti",s
This is n't a new i,d
It, 
-LRB- `` Take Care of My Cat '' -RRB- is an honestly nice little film that takes us on an examination of young adult life in urban South Korea t,h
It 's not life-affirming, 
What `` Empire '' lacks in depth it makes up for with its hea,r
"Light , silly , photographed with colour and depth , and ",r
But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weakn,e
Much of the movie ,'
Their computer-animated faces are ,v
"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck J",o
"... spiced with humor -LRB- ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand -RRB- and", 
There 's an energy to Y Tu ,m
"Much of it comes from the brave , uninhibited perf",o
``  Conversations '' holds its g,o
`` Auto Focus '' works as an unusual biopic and document of male swi,n
"If Mr. Zhang 's subject matter is , to some degree at ",l
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the  's ... The film 's ending has a `` ,w
"feeling to it , but l",i
`` Cremaster  '' shoul,d
Made me unintentio,n
But believe it or n,o
"García Bernal and Talancón are an immensely appealing couple ,", 
"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my", 
-LRB- City -RRB- reminds us how realistically nuanced a Robert De Niro performance can be when he i,s
The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time, 
"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different -LRB- and better -RRB- than most ",f
"For those who pride themselves on sophisticated , discerning ",t
It cuts to the core of wha,t
"A welcome relief from baseball movies that try too hard to be mythic , this one is a s",w
A crisp psychological drama -LRB- and -RRB- a fascinating little thriller, 
It has more than a few moments that are insightful enough to be fondly remembered in t,h
"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second h",a
"An uncluttered , resonant gem that relays its universal points without lectures or confrontation",s
-LRB- The Cockettes -RRB- provides a window into a subculture hell-bent on expressing itself in, 
"A smart , steamy mix of road movie , coming-of-age story and politica",l
The modern-day r,o
It 's, 
"A terrific B movie -- in fact , the best in recent memor",y
`` Birthday Girl '' is an actor 's, 
I walked away from this new version of E.T. just ,a
"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying an",d
What 's really so, 
Shameles,s
An, 
"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then y",o
"This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience ",.
Some movies blend together as th,e
Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opin,i
Allen 's funniest, 
It 's a glorious spectacle like those D.W. ,g
This c,o
"More timely than its director could ever have dreamed , this ",q
The leaping story lin,e
"With three excellent principal singers , a youthful and good-looking diva and tenor and richl",y
The, 
Certa,i
"Winds up being both revelatory and narcissistic , achieving some honest insigh",t
Watching these eccentrics is both inspiring and pur,e
Steven Spielber,g
Fina,l
Ms. Seigner and Mr. Serraul,t
Allen shows, 
"A good film with a solid pedigree both in front of and , more", 
By no means a slam-dunk and sure to ultimately disappoint the action fans who, 
I encourage young and old alike to go see this unique and entertaining t,w
A literary detective story is stil,l
High Crimes steals so freely from ,o
If you 're a fan of the series you 'll love it and probably want ,t
I will, 
"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what H",i
"The story ... is inspiring , ir",o
It is also a testament to the integrity and vision of the band ,.
"Laced with liberal doses of dark humor , gorgeous ex",t
"Huppert 's show to steal and she makes a meal of it , channeling", 
Nair, 
She allows each character to confront their problems openly and ho,n
"One of the best silly horror movies of recent memory , with some r",e
The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them ,.
Strange occurr,e
Has a cert,a
Familiar but utterl,y
"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction ",.
"The film aims to be funny , u",p
The extent to which i,t
"The film brilliantly shines on all the characters , as the direc",t
"While not for every taste , this often very funny collegiate gross-o",u
"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work o",f
In addition to Hoffman 's powerfu,l
Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-w,o
"From the opening strains of the Average White Band 's `` Pick up the Pieces '' , y",o
Stevens ' ,v
that it 'll probably be the best and most mature comedy of the  summer season speaks mo,r
"Old people will love this movie , ",a
Meyjes ' provocative film might be called an example of the ,h
Tian emphasizes the isolation of these characters ,b
The movie is pretty funny now and then without in any way demeaning its subje,c
imagi,n
"Too damn weird to pass up , and for the blacklight crowd ,", 
"It is most remarkable not because of its epic scope , but", 
It 's not ,a
But if you 've paid a matinee price and bought a big tub of, 
Chomp c,h
The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust ,m
"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be ",l
Miller tells this very compelling tale with little f,u
Time Out is existential drama without a,n
"It 's a sweet , laugh-a-minute crowd pleaser", 
Writer\/director Alexander Payne -LRB- Election -RRB- and ,h
A movie that at its best does n't just make the most out of its characters ' flaws, 
It ',s
The best animated feature to hit theaters sin,c
What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention, 
Pacino is the best he 's been in years and Keener is m,a
"A solid , spooky entertainment worthy of the price of a tic",k
"By turns fanciful ,", 
.,.
Ad,a
So purely enjoyable th,a
Moonlight Mile gives itself the freedom to feel contradictory th,i
"It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its ",c
"The real triumphs in Igby come from Philippe , who makes Oliver fa",r
Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side ,.
"If you 're willing to have fun with it , you wo", 
Australia : Land Beyond Time, 
Hoffman 's pe,r
Told just proficiently enough t,o
"An enthralling aesthetic experience , one th",a
The quirky drama touches the heart and the funnybone thanks to the ene,r
A, 
What could have b,e
Duvall is s,t
A no-hol,d
You 'd have to be a most hard-hearted person not to be m,o
Allen 's un,d
Measured against practically any like-themed film other than its Oscar-sweeping franchise p,r
An exhilarating ,s
Maelstrom is strange and compe,l
It makes you believe the cast and crew thoroughly en,j
"Dark and disturbing , ye",t
"Too often , Son of the Bride becomes an exercise in trying to p",r
The picture uses humor and a ,h
A solid piece of journalistic work that draws a picture of a man for whom political expedience became, 
A terrific insider l,o
It 's a diverting enough hour-and-a-half for t,h
A party-hearty teen fl,i
As giddy and whimsical and relevant today as it, 
The film offers, 
The Pianist is ,t
This version does justice ,b
Poignant, 
"Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately deliv",e
Cho 's latest comic set is n't a,s
"In The Pianist , Po",l
"Despite the film 's shortcomings , the stories are ",q
Those who love Ci,n
"If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , ",t
This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characteriz,e
The reason to see `` Sade '' lay with the chemistry and complex relationship between the marquis -LRB- Auteil -RRB- and Emilie -LRB- ,l
It 's, 
"The film 's strength is n't in its details , but in the larger picture it paints -", 
"... best seen as speculative history , as much an exploration of", 
"It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore ",l
The Saigon of  is an uneasy mix of, 
